📊 Starting performance-analysis session at 2025-07-25 10:45:37
2025-07-25 10:45:37 - ../CMakeLists.txt | Text | 11ms | 17 symbols | 570 bytes
2025-07-25 10:45:37 - ../demo.txt | Text | 20ms | 127 symbols | 1647 bytes
2025-07-25 10:45:37 - ../README.md | Text | 205ms | 800 symbols | 15529 bytes
2025-07-25 10:45:37 - ../CONTRIBUTING.md | Text | 110ms | 566 symbols | 8237 bytes
2025-07-25 10:45:37 - ../build/go_tags.txt | Text | 5ms | 14 symbols | 306 bytes
2025-07-25 10:45:37 - ../build/CMakeFiles/cpp-assist.dir/link.txt | Text | 3ms | 9 symbols | 235 bytes
2025-07-25 10:45:37 - ../build/CMakeFiles/navix.dir/link.txt | Text | 4ms | 11 symbols | 347 bytes
2025-07-25 10:45:37 - ../build/CMakeFiles/TargetDirectories.txt | Text | 3ms | 12 symbols | 184 bytes
2025-07-25 10:45:37 - ../build/CMakeFiles/4.0.3/CompilerIdCXX/CMakeCXXCompilerId.cpp | C++ | 49ms | 1 symbols | 28585 bytes
2025-07-25 10:45:37 - ../build/navix_performance.log | Text | 13ms | 32 symbols | 890 bytes
2025-07-25 10:45:38 - ../build/text_demo.txt | Text | 1030ms | 2811 symbols | 59885 bytes
2025-07-25 10:45:38 - ../build/CMakeCache.txt | Text | 263ms | 922 symbols | 16304 bytes
2025-07-25 10:45:38 - ../build/go_demo.txt | Text | 9ms | 19 symbols | 498 bytes
2025-07-25 10:45:38 - ../build/tags.txt | Text | 96ms | 243 symbols | 5674 bytes
2025-07-25 10:45:39 - ../build/demo_tags.txt | Text | 355ms | 596 symbols | 17295 bytes
2025-07-25 10:45:39 - ../demo.py | Python | 2ms | 4 symbols | 204 bytes
2025-07-25 10:45:39 - ../demo.go | Go | 21ms | 22 symbols | 2859 bytes
2025-07-25 10:45:39 - ../src/FileWatcher.hpp | C++ | 19ms | 27 symbols | 2757 bytes
2025-07-25 10:45:39 - ../src/Symbol.cpp | C++ | 195ms | 132 symbols | 27525 bytes
2025-07-25 10:45:39 - ../src/PerformanceLogger.cpp | C++ | 90ms | 73 symbols | 12807 bytes
2025-07-25 10:45:39 - ../src/TUI.cpp | C++ | 115ms | 203 symbols | 17664 bytes
2025-07-25 10:45:39 - ../src/FileScanner.cpp | C++ | 108ms | 96 symbols | 17211 bytes
2025-07-25 10:45:39 - ../src/TUI.hpp | C++ | 16ms | 53 symbols | 2625 bytes
2025-07-25 10:45:39 - ../src/FileScanner.hpp | C++ | 15ms | 25 symbols | 2350 bytes
2025-07-25 10:45:39 - ../src/FileWatcher.cpp | C++ | 53ms | 84 symbols | 9074 bytes
2025-07-25 10:45:39 - ../src/Symbol.hpp | C++ | 26ms | 23 symbols | 3714 bytes
2025-07-25 10:45:40 - ../src/main.cpp | C++ | 224ms | 95 symbols | 36743 bytes
2025-07-25 10:45:40 - ../src/PerformanceLogger.hpp | C++ | 27ms | 32 symbols | 4114 bytes
